id,level_id,total_time,donuts,candy,level,progress,id Quizo,nbr Items,badge المثابرة,التركيز,النجاح,التميز,الإرتقاء,total_Time_Education,nb_mistakes,correct Question,correct_Q_Math,correct_Q_Science,correct_Q_Ar,correct_Q_Fr,Q_Best_Time,best_time_math,best_time_science,best_time_ar,best_time_fr,Q_Worst_Time,worst_time_math,worst_time_science,worst_time_ar,worst_time_fr,Q_Avg_Time,Avg_Time_math,Avg_Time__science,Avg_Time_ar,Avg_Time_fr
1661,4,0:00:20,1,350,1,0,NULL,0,0,0,0,0,,21,NULL,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1677,3,0:06:07,20,350,1,0,NULL,0,0,0,0,0,,1764,NULL,10,0,10,0,0,5,0,5,0,0,0,0,0,0,0,5,0,5,0,0
1681,3,0:05:14,10,350,1,0,NULL,0,0,0,0,0,,1757,NULL,10,0,10,0,0,5,0,5,0,0,0,0,0,0,0,5,0,5,0,0
1683,3,0:01:42,2,350,1,0,NULL,0,0,0,0,0,,119,NULL,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0
1700,3,0:50:19,46,350,1,0,NULL,0,0,0,0,0,,1708,NULL,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
1706,3,0:08:56,16,350,1,0.321428597,NULL,0,0,0,0,0,,777,NULL,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0
1714,6,9:13:49,638,3500,7,0,430,9,10,7,5,7,6,61593,NULL,91,22,40,0,0,26,9,17,0,0,6,2,4,0,0,59,11,19,0,0
1729,4,0:01:24,1,350,1,0,NULL,0,0,0,0,0,,77,NULL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1734,5,0:05:51,7,350,1,0,NULL,0,0,0,0,0,,3913,NULL,8,0,8,0,0,0,0,0,0,0,1,0,1,0,0,7,0,7,0,0
1738,5,0:05:01,10,350,1,0,NULL,0,0,0,0,0,,8757,NULL,17,0,17,0,0,4,0,4,0,0,5,0,5,0,0,8,0,8,0,0
